season,n,wmae
2006,220,0.08575030992337467
2007,266,0.040443257130215175
2008,193,0.04087060882033234
2009,253,0.01974900584234979
2010,267,0.038857485125028436
2011,267,0.056160113680852934
2012,266,0.053164216470901145
2013,266,0.06457884980087386
2014,266,0.025761626737867627
2015,267,0.02889649697334319
2016,265,0.03079945672855262
2017,266,0.03773993553049548
2018,265,0.018108599176589066
2019,266,0.05169114146059746
2020,268,0.06473773262813456
2021,284,0.055243951292807236
2022,282,0.037224946394279555
2023,285,0.03393624425496176
2024,285,0.055116694657997324
2025,284,0.0424317457130598
