era,ml_bin,n,mean_ml_wp,actual_wr,error
Early (06-10),"(0.499, 0.575]",217,0.5428765792131851,0.576036866359447,0.033160287146261846
Early (06-10),"(0.575, 0.65]",295,0.6155127753968757,0.535593220338983,-0.07991955505789261
Early (06-10),"(0.65, 0.725]",281,0.68643798998968,0.6476868327402135,-0.03875115724946643
Early (06-10),"(0.725, 0.8]",205,0.7600354332937669,0.7560975609756098,-0.003937872318157121
Early (06-10),"(0.8, 0.9]",184,0.8414220581213732,0.8369565217391305,-0.004465536382242674
Early (06-10),"(0.9, 1.0]",17,0.916905735148366,0.9411764705882353,0.02427073543986924
Mid (11-15),"(0.499, 0.575]",293,0.5389693270863981,0.5187713310580204,-0.020197996028377685
Mid (11-15),"(0.575, 0.65]",347,0.6117206497169271,0.5936599423631124,-0.01806070735381471
Mid (11-15),"(0.65, 0.725]",284,0.6846276341330428,0.6971830985915493,0.012555464458506416
Mid (11-15),"(0.725, 0.8]",265,0.7571766795073335,0.769811320754717,0.01263464124738356
Mid (11-15),"(0.8, 0.9]",130,0.8362511374029266,0.8538461538461538,0.01759501644322725
Mid (11-15),"(0.9, 1.0]",13,0.9183886581549119,1.0,0.08161134184508811
Late (16-20),"(0.499, 0.575]",283,0.5395446207287078,0.5406360424028268,0.0010914216741190197
Late (16-20),"(0.575, 0.65]",365,0.6138917661698062,0.5589041095890411,-0.0549876565807651
Late (16-20),"(0.65, 0.725]",302,0.6885945284531099,0.7251655629139073,0.03657103446079746
Late (16-20),"(0.725, 0.8]",265,0.7588335221557593,0.7962264150943397,0.03739289293858039
Late (16-20),"(0.8, 0.9]",105,0.8451423436311655,0.8571428571428571,0.012000513511691624
Late (16-20),"(0.9, 1.0]",10,0.9123342822267801,0.9,-0.012334282226780124
Recent (21-25),"(0.499, 0.575]",340,0.543354779748403,0.5294117647058824,-0.013943015042520601
Recent (21-25),"(0.575, 0.65]",408,0.6121703097945514,0.6323529411764706,0.020182631381919114
Recent (21-25),"(0.65, 0.725]",275,0.6879341294470572,0.68,-0.007934129447057181
Recent (21-25),"(0.725, 0.8]",254,0.7631350106246062,0.7598425196850394,-0.00329249093956685
Recent (21-25),"(0.8, 0.9]",134,0.8457863722626128,0.8582089552238806,0.012422582961267858
Recent (21-25),"(0.9, 1.0]",9,0.9121898168868926,1.0,0.0878101831131074
