method,bin_lo,bin_hi,bin_mid,n,actual_wr,mean_pred,error
Raw ML,0.5,0.55,0.525,665,0.5218045112781955,0.5260745959916724,-0.004270084713476896
Raw ML,0.55,0.6,0.575,918,0.5599128540305011,0.5747899374115226,-0.01487708338102156
Raw ML,0.6,0.65,0.625,965,0.5958549222797928,0.6252192017305963,-0.029364279450803554
Raw ML,0.65,0.7,0.675,789,0.6755386565272496,0.6756115115812333,-7.285505398368919e-05
Raw ML,0.7,0.75,0.725,752,0.7353723404255319,0.725578950471749,0.009793389953782872
Raw ML,0.75,0.8,0.775,585,0.7829059829059829,0.7746225009297567,0.008283481976226192
Raw ML,0.8,0.85,0.825,339,0.8200589970501475,0.8220129033324999,-0.001953906282352369
Raw ML,0.85,0.9,0.875,219,0.8995433789954338,0.8719052616048317,0.02763811739060207
Raw ML,0.9,1.0,0.95,49,0.9591836734693877,0.9155000250568553,0.04368364841253236
Platt,0.5,0.55,0.525,665,0.5218045112781955,0.5033561494746622,0.018448361803533264
Platt,0.55,0.6,0.575,918,0.5599128540305011,0.5583900739053915,0.0015227801251095352
Platt,0.6,0.65,0.625,965,0.5958549222797928,0.6159465391852943,-0.02009161690550154
Platt,0.65,0.7,0.675,789,0.6755386565272496,0.6729352669828891,0.002603389544360568
Platt,0.7,0.75,0.725,752,0.7353723404255319,0.7288786530973943,0.006493687328137598
Platt,0.75,0.8,0.775,585,0.7829059829059829,0.7831213366474786,-0.0002153537414957274
Platt,0.8,0.85,0.825,339,0.8200589970501475,0.8343898161914509,-0.014330819141303408
Platt,0.85,0.9,0.875,219,0.8995433789954338,0.8863577783337995,0.013185600661634322
Platt,0.9,1.0,0.95,49,0.9591836734693877,0.9290635053252402,0.03012016814414753
Beta,0.5,0.55,0.525,665,0.5218045112781955,0.5135764364556018,0.00822807482259369
Beta,0.55,0.6,0.575,918,0.5599128540305011,0.5600259097332707,-0.00011305570276964882
Beta,0.6,0.65,0.625,965,0.5958549222797928,0.6119703704643588,-0.016115448184566006
Beta,0.65,0.7,0.675,789,0.6755386565272496,0.6668866699344925,0.008651986592757122
Beta,0.7,0.75,0.725,752,0.7353723404255319,0.7239037382655,0.011468602160031871
Beta,0.75,0.8,0.775,585,0.7829059829059829,0.7823027745504854,0.000603208355497542
Beta,0.8,0.85,0.825,339,0.8200589970501475,0.839255655203848,-0.01919665815370053
Beta,0.85,0.9,0.875,219,0.8995433789954338,0.8969306521821943,0.002612726813239541
Beta,0.9,1.0,0.95,49,0.9591836734693877,0.9434009613808456,0.015782712088542095
Poly Logit 2,0.5,0.55,0.525,665,0.5218045112781955,0.5142125581988402,0.00759195307935534
Poly Logit 2,0.55,0.6,0.575,918,0.5599128540305011,0.5604486754818061,-0.0005358214513050408
Poly Logit 2,0.6,0.65,0.625,965,0.5958549222797928,0.6119331426659084,-0.016078220386115616
Poly Logit 2,0.65,0.7,0.675,789,0.6755386565272496,0.6662336880309915,0.00930496849625817
Poly Logit 2,0.7,0.75,0.725,752,0.7353723404255319,0.7230745729538329,0.012297767471698973
Poly Logit 2,0.75,0.8,0.775,585,0.7829059829059829,0.7815701677521611,0.001335815153821751
Poly Logit 2,0.8,0.85,0.825,339,0.8200589970501475,0.839358441144661,-0.01929944409451345
Poly Logit 2,0.85,0.9,0.875,219,0.8995433789954338,0.8990434063868901,0.0004999726085437306
Poly Logit 2,0.9,1.0,0.95,49,0.9591836734693877,0.9460029455613451,0.013180727908042589
Platt+ReLU,0.5,0.55,0.525,665,0.5218045112781955,0.5104834192836113,0.011321091994584198
Platt+ReLU,0.55,0.6,0.575,918,0.5599128540305011,0.5601161691592855,-0.00020331512878446478
Platt+ReLU,0.6,0.65,0.625,965,0.5958549222797928,0.6141456808171489,-0.018290758537356178
Platt+ReLU,0.65,0.7,0.675,789,0.6755386565272496,0.6692269358655489,0.006311720661700715
Platt+ReLU,0.7,0.75,0.725,752,0.7353723404255319,0.7241068934881408,0.011265446937391066
Platt+ReLU,0.75,0.8,0.775,585,0.7829059829059829,0.7782038996447272,0.004702083261255652
Platt+ReLU,0.8,0.85,0.825,339,0.8200589970501475,0.8345805921890206,-0.014521595138873078
Platt+ReLU,0.85,0.9,0.875,219,0.8995433789954338,0.9014129747367351,-0.0018695957413012998
Platt+ReLU,0.9,1.0,0.95,49,0.9591836734693877,0.9486340085761379,0.010549664893249822
Platt+Soft,0.5,0.55,0.525,665,0.5218045112781955,0.5139026006741996,0.00790191060399592
