season,n,model_slope,market_slope,market_intercept
2006,217,3.805773827433582,6.435593464272646,0.2689989531163468
2007,263,6.864945709705357,6.887392748056204,-0.054632606489024696
2008,189,5.5798293471336375,7.157579088380024,-0.08336277345582077
2009,251,6.58011696338654,7.247176846281921,-0.18723781640101467
2010,266,5.23281106352806,6.630878708230567,0.2826903970129439
2011,265,6.524324879050255,6.640054672636665,0.2150735453461279
2012,267,6.612676066160204,6.904129446749774,0.10431710379359521
2013,263,8.160030761361122,6.727596800142518,0.35313096023857443
2014,265,5.494613760709762,6.444292452213357,0.5279867203790478
2015,266,5.972743713855744,6.334655422730201,0.6078421147692001
2016,263,8.25930923223496,6.512394743988937,0.467856483293533
2017,258,7.51549882292748,6.747796812039752,0.4112958333137331
2018,265,6.371123349666595,7.027603923848268,0.14512817063076
2019,265,7.207585063576703,7.43630046734675,-0.10080753450039114
2020,268,6.0675861775875095,6.766787443613394,0.3619643207054588
2021,283,7.448196110129359,7.338503751864853,0.10162289136376271
2022,282,5.697846293449402,7.259704437656463,0.16177249183057474
2023,284,7.214359134435656,6.435283214313839,0.6320985977208332
2024,284,8.295604535937317,6.2043758916362055,0.7310792122532326
2025,285,6.348876535892487,6.051795566553443,0.7129450553414602
