spread,tercile,tercile_label,n,mean_cover_prob,median_cover_prob,median_margin,mean_margin,fav_cover_rate
2.5,0,low,115,0.4924049429977525,0.4956702459300312,3.0,2.243478260869565,0.5739130434782609
2.5,1,mid,116,0.5085994414822516,0.5108342361863488,0.0,0.47413793103448276,0.46551724137931033
2.5,2,high,89,0.5216324915523812,0.5217391304347826,1.0,-0.3258426966292135,0.4606741573033708
3.0,0,low,195,0.48496146047096067,0.4891657638136511,3.0,2.928205128205128,0.5081967213114754
3.0,1,mid,228,0.5047054257334194,0.5021645958699511,2.5,2.1973684210526314,0.4492753623188406
3.0,2,high,155,0.5236040861840852,0.5217391304347826,3.0,2.0709677419354837,0.4411764705882353
3.5,0,low,127,0.48832158693053324,0.4891657638136511,4.0,5.039370078740157,0.5433070866141733
3.5,1,mid,121,0.4999189302687832,0.5,3.0,4.975206611570248,0.49586776859504134
3.5,2,high,101,0.5155146861771693,0.5108342361863488,4.0,4.801980198019802,0.504950495049505
7.0,0,low,82,0.48709135377523965,0.4891657638136511,7.0,7.878048780487805,0.47297297297297297
7.0,1,mid,90,0.5,0.5,7.5,10.166666666666666,0.5232558139534884
7.0,2,high,64,0.5109871264009895,0.5108342361863488,6.0,7.75,0.47619047619047616
