k,baseline,observed_pos,observed_neg,observed_combined,expected_pos,expected_neg,expected_combined,observed_rate_combined,expected_rate_combined,excess_rate_combined,ratio_combined
1,gaussian,118,98,216,137.70902147091508,126.62292206083444,264.3319435317495,0.043105168629016165,0.05275033796283168,-0.009645169333815509,0.8171543594543115
1,gennorm,118,98,216,130.5056883106401,115.2728751850116,245.7785634956517,0.043105168629016165,0.049047807522580665,-0.005942638893564498,0.8788398667804137
2,gaussian,123,90,213,142.1712232997528,120.22490388617472,262.3961271859275,0.04250648573139094,0.05236402458310268,-0.00985753885171174,0.811749785655462
2,gennorm,123,90,213,137.73362536780743,107.74400004793696,245.4776254157444,0.04250648573139094,0.04898775202868577,-0.006481266297294831,0.8676961887636813
3,gaussian,416,315,731,145.78353871823163,113.42032555212221,259.20386427035385,0.1458790660546797,0.051726973512343614,0.09415209254233609,2.820174004958333
3,gennorm,416,315,731,144.23183274915607,100.4197823785527,244.65161512770877,0.1458790660546797,0.048822912617782634,0.09705615343689708,2.9879222322665484
4,gaussian,148,91,239,148.4701706810222,106.33457574869034,254.80474642971257,0.04769507084414289,0.050849081307066966,-0.00315401046292408,0.9379731082282948
4,gennorm,148,91,239,148.84087188878237,93.36137808976466,242.20224997854703,0.04769507084414289,0.04833411494283517,-0.000639044098692283,0.986778611764215
5,gaussian,122,70,192,150.17533318259552,99.09005544872153,249.26538863131705,0.03831570544801437,0.04974364171449153,-0.011427936266477161,0.7702633769343042
5,gennorm,122,70,192,151.46146642050678,86.61003283123577,238.07149925174255,0.03831570544801437,0.0475097783380049,-0.009194072889990532,0.8064804086312514
6,gaussian,192,130,322,150.86480317025865,91.80238677874402,242.66718994900268,0.06425863101177409,0.04842689881241322,0.01583173219936087,1.3269202155745463
6,gennorm,192,130,322,152.51506664951907,80.1924104422055,232.70747709172457,0.06425863101177409,0.04643932889477641,0.01781930211699769,1.3837114476260668
7,gaussian,271,164,435,150.5266819703931,84.57735118763652,235.1040331580296,0.08680902015565756,0.04691758793814201,0.039891432217515545,1.850244737008006
7,gennorm,271,164,435,151.81594809747463,74.12410428029547,225.9400523777701,0.08680902015565756,0.0450888150823728,0.041720205073284757,1.9252894536497815
8,gaussian,129,59,188,149.17143564876852,77.50862792048261,226.68006356925113,0.03751746158451407,0.04523649243050312,-0.0077190308459890505,0.8293627460650755
8,gennorm,129,59,188,149.18334824810051,68.41217190402958,217.5955201521301,0.03751746158451407,0.04342357217164839,-0.005906110587134323,0.8639883756272251
