k,baseline,n_pre,n_post,observed_pre,observed_post,expected_pre,expected_post,excess_rate_pre,excess_rate_post,delta_excess_rate
1,gaussian,2156,2855,84,132,117.43983441260931,146.89210911914023,-0.01551012727857575,-0.005216150304427401,0.010293976974148349
1,gennorm,2156,2855,84,132,108.98442761010392,136.79413588554775,-0.011588324494482338,-0.0016792069651655854,0.009909117529316752
2,gaussian,2156,2855,80,133,116.52556022485717,145.87056696107032,-0.016941354464219467,-0.004508079495996611,0.012433274968222857
2,gennorm,2156,2855,80,133,108.74998345942734,136.72764195631706,-0.013334871734428266,-0.0013056539251548364,0.01202921780927343
3,gaussian,2156,2855,311,420,115.0209129934501,144.1829512769037,0.09089939100489328,0.09660842337061165,0.005709032365718375
3,gennorm,2156,2855,311,420,108.27379509040401,136.37782003730476,0.09402885199888497,0.09934226968921023,0.005313417690325256
4,gaussian,2156,2855,116,123,112.9532997063288,141.85144672338373,0.0014131262957658597,-0.0066029585721133904,-0.00801608486787925
4,gennorm,2156,2855,116,123,107.0776989495393,135.12455102900773,0.004138358557727599,-0.004246777943610415,-0.008385136501338014
5,gaussian,2156,2855,62,130,110.35877507243146,138.9066135588856,-0.022429858567918116,-0.0031196544864748148,0.0193102040814433
5,gennorm,2156,2855,62,130,105.12576270770876,132.94573654403376,-0.020002672869994787,-0.0010317816266317912,0.018970891243362997
6,gaussian,2156,2855,119,203,107.28030803567262,135.38688191333006,0.0054358497051611235,0.023682353095155848,0.018246503389994725
6,gennorm,2156,2855,119,203,102.6559296565985,130.05154743512605,0.007580737636086038,0.025551121739010137,0.0179703841029241
7,gaussian,2156,2855,191,244,103.7661386882179,131.33789446981172,0.04046097463440729,0.03946133293526735,-0.000999641699139936
7,gennorm,2156,2855,191,244,99.61706883914476,126.32298353862535,0.042385404063476455,0.04121786916335364,-0.0011675349001228144
8,gaussian,2156,2855,68,120,99.86836569165641,126.81169787759471,-0.01478124568258646,-0.0023858836699105815,0.012395362012675878
8,gennorm,2156,2855,68,120,95.9367753547537,121.65874479737639,-0.012957688012408954,-0.0005809964264015362,0.012376691586007418
9,gaussian,2156,2855,30,46,95.64178253552076,121.8657884183909,-0.030446095795696085,-0.026572955663184204,0.0038731401325118806
9,gennorm,2156,2855,30,46,91.92281367350925,116.39076838804655,-0.028721156620366072,-0.02465526038110212,0.004065896239263952
10,gaussian,2156,2855,132,134,91.14289817316143,116.56202434263193,0.01895041828703088,0.0061078723843671,-0.012842545902663777
10,gennorm,2156,2855,132,134,87.54943637781795,110.82633062223438,0.02061714453719019,0.008116871936170094,-0.012500272601020095
11,gaussian,2156,2855,51,59,86.42905164439856,110.96542522322639,-0.016432769779405637,-0.018201549990622203,-0.0017687802112165661
11,gennorm,2156,2855,51,59,82.80558324413153,104.99166630467236,-0.014752125808966385,-0.016109165080445662,-0.0013570392714792774
12,gaussian,2156,2855,33,53,81.55755003013405,105.14288678646389,-0.022522054744960135,-0.018263708156379645,0.0042583465885804896
12,gennorm,2156,2855,33,53,77.91009540363791,99.0511049787713,-0.02083028543767992,-0.016129984230743015,0.004700301206936906
13,gaussian,2156,2855,62,59,76.58479892514572,99.16184703711981,-0.006764749037637161,-0.014067196860637413,-0.007302447823000251
13,gennorm,2156,2855,62,59,73.01056908210273,93.13684337224595,-0.005106942987988281,-0.011956862827406637,-0.0068499198394183555
14,gaussian,2156,2855,101,148,71.5654312501994,93.08894520502912,0.013652397379313824,0.019233294148851447,0.005580896769537623
14,gennorm,2156,2855,101,148,68.11297948707596,87.24905733323388,0.015253720089482392,0.021278789025136996,0.006025068935654604
15,gaussian,2156,2855,32,48,66.55146183976247,86.98871837078843,-0.016025724415474243,-0.013656293650013461,0.002369430765460782
15,gennorm,2156,2855,32,48,63.2531667486649,81.41481595449933,-0.01449590294464977,-0.011703963556742324,0.002791939387907446
16,gaussian,2156,2855,44,71,61.59150150580542,80.92238109673342,-0.008159323518462625,-0.003475439963829568,0.004683883554633056
16,gennorm,2156,2855,44,71,58.53828991084221,75.74707624997313,-0.006743177138609559,-0.001662723730288313,0.005080453408321246
17,gaussian,2156,2855,69,97,56.730060941172795,74.94673081888509,0.005691066353815958,0.00772443754154638,0.0020333711877304214
17,gennorm,2156,2855,69,97,54.00628690534349,70.29994049333231,0.006954412381566101,0.009352034853473795,0.0023976224719076946
18,gaussian,2156,2855,55,66,52.00696805202804,69.11321628718417,0.001388233742102021,-0.0010904435331643338,-0.0024786772752663547
18,gennorm,2156,2855,55,66,49.69787453726911,65.09104375530413,0.002459241865830655,0.00031837346574286246,-0.0021408684000877925
19,gaussian,2156,2855,21,33,47.456915695543216,63.46719840677068,-0.01227129670479741,-0.010671523084683249,0.001599773620114162
19,gennorm,2156,2855,21,33,45.638769633870204,60.15534763317717,-0.01142800075782477,-0.00951150530058745,0.0019164954572373199
20,gaussian,2156,2855,49,61,43.109151218925135,58.04742309374443,0.0027323046294410324,0.0010341775503522146,-0.0016981270790888178
20,gennorm,2156,2855,49,61,41.83279315033352,55.50625979200307,0.003324307444186678,0.0019242522619954217,-0.0014000551821912565
21,gaussian,2156,2855,74,60,38.98731406786242,52.88571502187955,0.016239650246817058,0.002491868643825027,-0.01374778160299203
21,gennorm,2156,2855,74,60,38.27881060079693,51.14361362372624,0.016568269665678603,0.0031020617780293386,-0.013466207887649264
22,gaussian,2156,2855,24,28,35.10942232147774,48.006890260655574,-0.005152793284544405,-0.007007667341735753,-0.0018548740571913483
22,gennorm,2156,2855,24,28,34.974126237570715,47.066242154369995,-0.005090039998873245,-0.006678193399078807,-0.0015881534002055624
23,gaussian,2156,2855,25,36,31.48800309274652,43.4288756077659,-0.00300927787233141,-0.0026020580062227332,0.00040721986610867686
