number,signed_margin,fav_spread,distance,n_bucket,empirical_rate,baseline_rate,excess_rate
1,1,1.0,0.0,218,0.03211009174311927,0.02147366014281559,0.010636431600303677
1,1,1.5,0.5,102,0.049019607843137254,0.013108369719165269,0.035911238123971984
1,1,2.0,1.0,107,0.018691588785046728,0.012388157394991557,0.00630343139005517
1,1,2.5,1.5,420,0.02619047619047619,0.018715453727162268,0.007475022463313923
1,1,3.0,2.0,784,0.02295918367346939,0.027686108485673207,-0.0047269248122038185
1,1,3.5,2.5,517,0.02127659574468085,0.034221513575528356,-0.012944917830847506
1,1,4.0,3.0,248,0.012096774193548387,0.03561914300311953,-0.023522368809571145
1,1,4.5,3.5,189,0.015873015873015872,0.034987052398314525,-0.019114036525298653
1,1,5.0,4.0,115,0.02608695652173913,0.03348332335761977,-0.0073963668358806405
1,1,5.5,4.5,213,0.03755868544600939,0.03200456592984659,0.005554119516162803
1,1,6.0,5.0,242,0.04132231404958678,0.03136256558377888,0.009959748465807897
1,1,6.5,5.5,239,0.02510460251046025,0.03130372006490722,-0.006199117554446968
1,1,7.0,6.0,337,0.02967359050445104,0.03145652379141701,-0.0017829332869659688
1,1,7.5,6.5,230,0.021739130434782608,0.031034793108834672,-0.009295662674052064
1,1,8.0,7.0,56,0.0,0.030150350893919736,-0.030150350893919736
1,1,8.5,7.5,58,0.0,0.02890727537785573,-0.02890727537785573
1,1,9.0,8.0,109,0.01834862385321101,0.02712880090098111,-0.0087801770477701
1,1,9.5,8.5,129,0.031007751937984496,0.026437075290944984,0.0045706766470395115
1,1,10.0,9.0,163,0.018404907975460124,0.025565935930599654,-0.00716102795513953
1,1,10.5,9.5,108,0.009259259259259259,0.024644225556696573,-0.015384966297437314
1,1,11.0,10.0,58,0.034482758620689655,0.02379166196242199,0.010691096658267663
1,1,12.5,11.5,35,0.0,0.020969803655340506,-0.020969803655340506
1,1,13.0,12.0,59,0.0,0.02007660025571636,-0.02007660025571636
1,1,13.5,12.5,50,0.02,0.019065938980793465,0.0009340610192065356
1,1,14.0,13.0,79,0.0,0.01828017089716197,-0.01828017089716197
1,-1,1.0,2.0,218,0.022935779816513763,0.021107260512980328,0.0018285193035334352
1,-1,1.5,2.5,102,0.0392156862745098,0.0129991105510399,0.0262165757234699
1,-1,2.0,3.0,107,0.028037383177570093,0.012325972176643118,0.015711411000926975
1,-1,2.5,3.5,420,0.02857142857142857,0.018450339625439866,0.010121088945988704
1,-1,3.0,4.0,784,0.016581632653061226,0.026751228152562187,-0.010169595499500961
1,-1,3.5,4.5,517,0.027079303675048357,0.03234446117993583,-0.005265157504887472
1,-1,4.0,5.0,248,0.036290322580645164,0.033193545832828734,0.0030967767478164293
1,-1,4.5,5.5,189,0.010582010582010581,0.03234516598236397,-0.02176315540035339
1,-1,5.0,6.0,115,0.02608695652173913,0.030870312759005644,-0.0047833562372665145
1,-1,5.5,6.5,213,0.03286384976525822,0.02944476935575683,0.003419080409501389
1,-1,6.0,7.0,242,0.024793388429752067,0.02864861344645005,-0.0038552250166979836
1,-1,6.5,7.5,239,0.02092050209205021,0.02825019066971703,-0.0073296885776668215
1,-1,7.0,8.0,337,0.011869436201780416,0.027917259370048,-0.016047823168267583
1,-1,7.5,8.5,230,0.017391304347826087,0.02715534893271728,-0.009764044584891194
1,-1,8.0,9.0,56,0.0,0.026140843082292198,-0.026140843082292198
1,-1,8.5,9.5,58,0.034482758620689655,0.025002733814511166,0.009480024806178489
1,-1,9.0,10.0,109,0.0,0.023652842372347372,-0.023652842372347372
1,-1,9.5,10.5,129,0.015503875968992248,0.022786447213763137,-0.007282571244770889
1,-1,10.0,11.0,163,0.006134969325153374,0.021868611873175375,-0.015733642548022002
1,-1,10.5,11.5,108,0.0,0.02091909032785359,-0.02091909032785359
1,-1,11.0,12.0,58,0.0,0.020019947831078647,-0.020019947831078647
1,-1,12.5,13.5,35,0.0,0.01729905914924122,-0.01729905914924122
1,-1,13.0,14.0,59,0.0,0.016617803485227147,-0.016617803485227147
1,-1,13.5,14.5,50,0.02,0.01552474854538484,0.004475251454615161
1,-1,14.0,15.0,79,0.012658227848101266,0.014855444863753462,-0.002197217015652196
2,2,1.0,1.0,218,0.01834862385321101,0.021380660307776647,-0.003032036454565637
2,2,1.5,0.5,102,0.058823529411764705,0.013108369719165269,0.045715159692599434
2,2,2.0,0.0,107,0.037383177570093455,0.012395965689855095,0.02498721188023836
2,2,2.5,0.5,420,0.03333333333333333,0.018769070363256472,0.01456426297007686
2,2,3.0,1.0,784,0.03826530612244898,0.02792582107801769,0.010339485044431291
2,2,3.5,1.5,517,0.01160541586073501,0.034778653482876225,-0.023173237622141213
2,2,4.0,2.0,248,0.016129032258064516,0.03641428547585825,-0.020285253217793738
2,2,4.5,2.5,189,0.010582010582010581,0.035916209188876794,-0.025334198606866212
2,2,5.0,3.0,115,0.008695652173913044,0.03445022520284431,-0.02575457302893127
2,2,5.5,3.5,213,0.004694835680751174,0.03299048751438464,-0.028295651833633466
2,2,6.0,4.0,242,0.02066115702479339,0.03244649214347365,-0.011785335118680261
2,2,6.5,4.5,239,0.016736401673640166,0.03256566627357218,-0.015829264599932013
2,2,7.0,5.0,337,0.02373887240356083,0.0329687059073115,-0.009229833503750666
2,2,7.5,5.5,230,0.0391304347826087,0.03274051940875181,0.006389915373856886
2,2,8.0,6.0,56,0.017857142857142856,0.031952783312704305,-0.01409564045556145
2,2,8.5,6.5,58,0.0,0.030689216370283382,-0.030689216370283382
2,2,9.0,7.0,109,0.01834862385321101,0.02872712493440901,-0.010378501081198001
2,2,9.5,7.5,129,0.007751937984496124,0.028148338609540673,-0.02039640062504455
2,2,10.0,8.0,163,0.049079754601226995,0.02732484858681784,0.021754906014409155
2,2,10.5,8.5,108,0.027777777777777776,0.02644231845914158,0.001335459318636198
2,2,11.0,9.0,58,0.0,0.02563581742979389,-0.02563581742979389
2,2,12.5,10.5,35,0.02857142857142857,0.022826131435534722,0.005745297135893848
2,2,13.0,11.0,59,0.05084745762711865,0.02183172692033713,0.02901573070678152
2,2,13.5,11.5,50,0.04,0.02089803451671002,0.01910196548328998
2,2,14.0,12.0,79,0.0,0.020058446674693385,-0.020058446674693385
2,-2,1.0,3.0,218,0.03669724770642202,0.02066933282700752,0.0160279148794145
2,-2,1.5,3.5,102,0.0392156862745098,0.01289229354563673,0.026323392728873074
2,-2,2.0,4.0,107,0.018691588785046728,0.012271967131998284,0.006419621653048444
2,-2,2.5,4.5,420,0.014285714285714285,0.018241759042171467,-0.003956044756457182
2,-2,3.0,5.0,784,0.02040816326530612,0.02607447895106653,-0.005666315685760408
2,-2,3.5,5.5,517,0.02127659574468085,0.031070351716158757,-0.009793755971477906
2,-2,4.0,6.0,248,0.024193548387096774,0.03162578792931436,-0.0074322395422175835
2,-2,4.5,6.5,189,0.037037037037037035,0.030698704678278215,0.00633833235875882
2,-2,5.0,7.0,115,0.0,0.029284197582863086,-0.029284197582863086
2,-2,5.5,7.5,213,0.004694835680751174,0.027925055311366506,-0.023230219630615334
2,-2,6.0,8.0,242,0.02066115702479339,0.02707490298453339,-0.006413745959740001
2,-2,6.5,8.5,239,0.008368200836820083,0.026523325808441633,-0.01815512497162155
2,-2,7.0,9.0,337,0.026706231454005934,0.025968470685347914,0.0007377607686580197
2,-2,7.5,9.5,230,0.004347826086956522,0.02506838239496866,-0.020720556308012138
2,-2,8.0,10.0,56,0.03571428571428571,0.024020895849379824,0.011693389864905888
2,-2,8.5,10.5,58,0.0,0.022959589211706457,-0.022959589211706457
2,-2,9.0,11.0,109,0.009174311926605505,0.02183866411468122,-0.012664352188075715
2,-2,9.5,11.5,129,0.015503875968992248,0.020912877371820668,-0.00540900140282842
2,-2,10.0,12.0,163,0.018404907975460124,0.019994394505485992,-0.001589486530025868
2,-2,10.5,12.5,108,0.009259259259259259,0.01905425591023863,-0.009794996650979371
2,-2,11.0,13.0,58,0.0,0.018152926280047867,-0.018152926280047867
2,-2,12.5,14.5,35,0.0,0.015535083534280344,-0.015535083534280344
2,-2,13.0,15.0,59,0.01694915254237288,0.014958285866297867,0.0019908666760750145
2,-2,13.5,15.5,50,0.0,0.01385738777723009,-0.01385738777723009
2,-2,14.0,16.0,79,0.0,0.013247687694912271,-0.013247687694912271
3,3,1.0,2.0,218,0.06880733944954129,0.021107260512980328,0.04770007893656096
3,3,1.5,1.5,102,0.10784313725490197,0.013071673873712828,0.09477146338118914
3,3,2.0,1.0,107,0.08411214953271028,0.012388157394991557,0.07172399213771871
3,3,2.5,0.5,420,0.08095238095238096,0.018769070363256472,0.062183310589124484
3,3,3.0,0.0,784,0.08801020408163265,0.028006268914784433,0.060003935166848224
3,3,3.5,0.5,517,0.09284332688588008,0.03506080098510674,0.05778252590077334
3,3,4.0,1.0,248,0.08870967741935484,0.03690019188444165,0.05180948553491319
3,3,4.5,1.5,189,0.1164021164021164,0.03654971817283962,0.07985239822927678
3,3,5.0,2.0,115,0.09565217391304348,0.03515824861275445,0.060493925300289034
3,3,5.5,2.5,213,0.0892018779342723,0.0337501308588002,0.055451747075472096
3,3,6.0,3.0,242,0.06611570247933884,0.033315834719968004,0.03279986775937084
3,3,6.5,3.5,239,0.08368200836820083,0.033612374115762865,0.05006963425243797
3,3,7.0,4.0,337,0.09495548961424333,0.03426073290604181,0.060694756708201514
3,3,7.5,4.5,230,0.05652173913043478,0.03423471730581927,0.022287021824615512
3,3,8.0,5.0,56,0.017857142857142856,0.03356321898491416,-0.015706076127771307
3,3,8.5,5.5,58,0.017241379310344827,0.03230478750110323,-0.015063408190758402
3,3,9.0,6.0,109,0.05504587155963303,0.03018997267326293,0.0248558988863701
