season,week,game_type,home_team,away_team,home_score,away_score,spread_line,result,home_moneyline,away_moneyline,home_spread_odds,away_spread_odds,div_game,total_line,home_win,is_tie,is_playoff,is_home_fav,spread_bucket,spread_wp_538,ml_wp_close,ml_formula_divergence,spread_open,spread_close_mkt,spread_move,ml_wp_open,ml_wp_close_mkt,ml_formula_divergence_open,home_spread_close_price,away_spread_close_price,home_is_fav_ml,fav_ml_wp,fav_wp_cal,ml_wp_cal,fav_margin,fav_spread,fav_spread_close_price,dog_spread_close_price
1999,1,REG,ATL,MIN,14.0,17.0,4.0,-3.0,,,,,0,49.0,0,0,0,0,4.0,0.35993500019711494,,,4.0,4.0,0.0,,,,,,,,,,3.0,4.0,,
1999,1,REG,CHI,KC,20.0,17.0,3.0,3.0,,,,,0,38.0,1,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,-3.0,3.0,,
1999,1,REG,CLE,PIT,0.0,43.0,6.0,-43.0,,,,,1,37.0,0,0,0,0,6.0,0.29661499652817136,,,6.0,6.0,0.0,,,,,,,,,,43.0,6.0,,
1999,1,REG,GB,OAK,28.0,24.0,-9.0,4.0,,,,,0,43.0,1,0,0,1,-9.0,0.785026736998172,,,-9.0,-9.0,0.0,,,,,,,,,,-4.0,-9.0,,
1999,1,REG,IND,BUF,31.0,14.0,3.0,17.0,,,,,1,45.5,1,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,-17.0,3.0,,
1999,1,REG,JAX,SF,41.0,3.0,-5.5,38.0,,,,,0,49.0,1,0,0,1,-5.5,0.6881562429386404,,,-5.5,-5.5,0.0,,,,,,,,,,-38.0,-5.5,,
1999,1,REG,NO,CAR,19.0,10.0,-3.5,9.0,,,,,1,38.0,1,0,0,1,-3.5,0.623326217078607,,,-3.5,-3.5,0.0,,,,,,,,,,-9.0,-3.5,,
1999,1,REG,NYJ,NE,28.0,30.0,-7.0,-2.0,,,,,1,44.5,0,0,0,1,-7.0,0.7325072897556676,,,-7.0,-7.0,0.0,,,,,,,,,,2.0,-7.0,,
1999,1,REG,PHI,ARI,24.0,25.0,3.0,-1.0,,,,,1,37.0,0,0,0,0,3.0,0.3937121762145718,,,3.0,3.0,0.0,,,,,,,,,,1.0,3.0,,
1999,1,REG,SEA,DET,20.0,28.0,-9.5,-8.0,,,,,0,42.0,0,0,0,1,-9.5,0.7969209049515267,,,-9.5,-9.5,0.0,,,,,,,,,,8.0,-9.5,,
